article_id,article_version,hcpc_code_group,paragraph,last_updated
52451,89,3,<p>Via SUSVIMO drug implant only</p>,2026-07-24 15:36:31.643000
52453,49,1,"<p>Effective for dates of service on or after 01/01/2023, leuprolide acetate for depot suspension (Lutrate) should be reported with HCPCS code J1954.<br /><br />Effective for dates of service on or after 01/01/2022, leuprolide mesylate (Camcevi&reg;), should be reported with HCPCS code J1952.</p>
<p>Effective for dates of service 5/26/2021 through 12/31/2021, leuprolide mesylate (Camcevi&reg;), should be reported with HCPCS code J3590.</p>
<p>CPT Code J9218 is not covered under Medicare because it is self-administered.</p>",2026-07-14 22:43:00.513000
52457,65,1,,2026-04-03 00:25:33.043000
52458,40,1,,2026-04-15 12:41:36.387000
52459,23,1,,2022-04-07 21:36:30.163000
52460,16,1,,2022-04-07 21:37:19.480000
52461,21,1,,2022-04-07 21:38:51.473000
52462,32,1,,2025-09-11 13:46:37.753000
52463,32,1,,2025-09-11 13:48:26.473000
52464,65,1,,2026-04-15 12:46:44.353000
52465,72,1,,2026-04-01 18:31:19.690000
52466,87,1,,2026-06-10 15:25:01.947000
52467,54,1,,2024-05-08 15:56:44.013000
52468,22,1,,2022-04-07 21:44:53.017000
52469,28,1,,2024-10-09 18:19:00.987000
52470,19,1,,2026-07-27 18:03:29.237000
52474,40,1,,2025-09-12 13:35:43.240000
52476,27,1,,2022-04-07 14:02:29.980000
52477,16,1,,2022-04-07 14:09:34.460000
52478,26,1,,2025-10-03 15:02:26.177000
52479,73,1,,2025-12-31 13:50:29.867000
52480,90,1,,2025-12-31 14:02:24.090000
52481,30,1,,2025-03-27 12:56:19.103000
52487,33,1,,2025-04-03 16:17:00.633000
52489,24,1,,2022-04-07 14:19:18.920000
52490,27,1,,2022-04-07 14:19:58.820000
52492,22,1,,2026-05-05 16:08:57.190000
52494,63,1,"<p><span style=""line-height: 115%;"">&nbsp;</span></p>",2025-09-11 14:03:15.467000
52495,18,1,,2022-04-07 16:51:16.627000
52496,64,1,,2026-06-11 15:17:17.257000
52497,35,1,,2024-06-05 19:22:53.533000
52498,64,1,,2026-04-03 00:26:19.660000
52499,23,1,,2022-05-18 17:35:40.333000
52500,46,1,,2026-04-03 00:26:44.590000
52501,47,1,,2024-11-26 12:52:36.080000
52502,20,1,,2022-04-07 16:49:20.087000
52503,26,1,,2025-10-23 17:00:08.390000
52504,61,1,,2026-04-03 00:27:07.020000
52505,80,1,,2026-05-21 16:54:43.070000
52507,156,1,,2026-01-27 18:51:05.057000
52508,39,1,,2022-04-07 12:33:09.437000
52509,73,1,,2026-06-19 14:05:58.220000
52510,61,1,,2025-09-12 13:51:39.003000
52511,28,1,,2022-04-07 12:40:02.103000
52512,46,1,,2024-05-09 18:55:43.097000
52513,50,1,,2026-07-02 18:30:37.273000
52514,61,1,<p>N/A</p>,2024-05-09 18:59:28.417000
52516,26,1,,2023-09-20 13:41:37.443000
52517,50,1,,2025-10-03 14:40:04.770000
52518,36,1,,2023-05-11 16:30:31.903000
52519,39,1,,2024-05-09 18:57:25.583000
52520,31,1,,2022-11-11 14:43:17.447000
52521,55,1,,2026-04-02 16:24:23.997000
52535,14,1,,2026-07-27 18:01:49.973000
52537,11,1,,2023-12-29 17:39:23.173000
52711,22,1,,2022-04-07 21:46:31.147000
52712,25,1,,2022-04-07 21:47:16.250000
52713,18,1,,2022-04-07 14:00:02.457000
52825,12,1,,2026-07-14 22:43:05.240000
52830,9,1,Not applicable,2026-07-28 17:58:37.117000
52837,21,1,<p>The CPT codes in Group 1 are generally considered reconstructive in nature.</p>,2026-07-14 22:43:04.647000
52837,21,2,"<p>The CPT codes in Group 2 may potentially be considered as cosmetic and thus not covered by Medicare. Documentation to support functional impairment, visual or otherwise, must be present. (Please see the ""Indications and Limitations"" and ""Documentation Requirements"" sections.)</p>",2026-07-14 22:43:04.647000
52840,3,1,"Procedure codes may be subject to National Correct Coding Initiative (NCCI) edits or OPPS packaging edits. Refer to NCCI and OPPS requirements prior to billing Medicare.<br><br>For services requiring a referring/ordering physician, the name and NPI of the referring/ordering physician must be reported on the claim.<br><br><b>Part B Services</b><br>Providers should enter clinical trial and non-clinical trial services on separate lines when both types of services are submitted on the same claim form.<br><br>Items and services provided free of charge by research sponsors should not be billed to Medicare. If these items are required for payment of another payable service, providers should submit the items as non-covered (use modifiers FB and GX or GY). For OPPS claims, a token charge must be entered on the line for a no-cost item.<br><br>Routine costs of a clinical trial should be submitted to the Part B MAC as follows:<ul type=disc> <li> Report modifier ""Q1"" with each service. ICD-10-CM code Z00.6 (examination of participant in clinical trial) should be reported as the secondary diagnosis.<li>It is mandatory to report a clinical trial number on claims for items and services provided in clinical trials that are qualified for coverage. However, for physicians, providers, and suppliers who do not have the capacity at this time to report the clinical trials identifier number associated with trial-related claims, CMS is providing an option to submit a generic number in place of the actual National Clinical Trials (NCT) number. Beginning January 1, 2014, and continuing no later than through December 31, 2014, those above-mentioned physicians, providers, and suppliers may instead report an 8-digit, generic number 99999999, following the instructions in transmittal #R2805CP.<br><br>",2026-07-14 22:43:04.730000
52841,4,1,,2026-07-14 22:43:04.910000
52842,18,1,,2026-07-14 22:43:04.980000
52845,8,1,,2026-07-14 21:41:56.480000
52849,36,1,<p><strong>CPT code 77048 and 77049 should not be used by OPPS providers.</strong><br /><br />HCPCS codes C8903 through C8908 are to be billed to the Part A MAC and not the Part B MAC.<br /><br /></p>,2026-07-14 22:42:58.687000
52850,56,1,<p><b>The following CPT/HCPCS codes describe cardiac catheterization.</b></p>,2026-07-14 22:42:58.803000
52850,56,2,<p><b>The following CPT/HCPCS codes describe SELECTIVE extra-cardiac angiography.</b></p>,2026-07-14 22:42:58.803000
52850,56,3,<p><strong>The following CPT/HCPCS code describes NON-SELECTIVE extra-cardiac angiography.</strong></p>,2026-07-14 22:42:58.803000
52855,31,1,,2026-07-14 22:42:59.380000
52863,59,1,"<p><strong>INJECTION OF TENDON SHEATHS, LIGAMENTS, GANGLION CYSTS, CARPAL AND TARSAL TUNNELS </strong></p>",2026-07-14 22:43:02.130000
52863,59,2,"<p><p style=""line-height: normal;""><strong>Dry Needling</strong></p>
<p style=""line-height: normal;"">For dates of service on or after 01/01/2020, dry needling should be reported using CPT codes 20560 or 20561. Effective January 21, 2020, Medicare will cover all types of acupuncture including dry needling for chronic low back pain within specific guidelines in accordance with NCD 30.3.3.</p></p>",2026-07-14 22:43:02.130000
52866,35,1,<p>N/A</p>,2026-07-14 22:43:03.557000
52868,46,1,,2026-07-14 22:43:03.933000
52870,38,1,"<p>CPT code 37799 should be used to report ""Trivex Procedure"".</p>
<p>&nbsp;</p>",2026-07-14 22:43:04.177000
52917,4,1,,2023-11-22 16:25:23.587000
52918,5,1,,2023-11-22 18:30:28.603000
52986,242,1,"<p><strong>Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>
<p><strong>Note</strong>: Please see the indications and limitations section of the LCD for details regarding CPT/HCPCS codes: 81292, 81293, 81294, 81321, 81322, 81323, 81437, 81479, 81520, 81525, 81540, and 81546.</p>
<p>Please see NCD 90.2, Next Generation Sequencing (NGS) for Patients with Advanced Cancer.</p>",2025-04-25 17:28:16.790000
52992,30,1,<p><strong><br />Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>,2025-04-11 13:01:08.820000
52992,30,2,,2025-04-11 13:01:08.953000
52993,54,1,<p><strong>Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>,2024-10-18 13:42:54.580000
52996,31,1,<p><strong>Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>,2025-09-26 13:52:26.733000
52998,50,1,<p><strong>Note: </strong>Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>,2026-01-23 14:04:06.273000
53001,45,1,<p>Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>,2026-01-23 14:04:57.280000
53006,14,1,,2019-12-12 15:59:00.543000
53008,56,1,<p>The following CPT/HCPCS codes are used for reporting intravitreal use of Bevacizumab (Avastin):</p>,2025-10-27 12:06:22.083000
53018,14,1,,2026-07-14 22:43:03.710000
53019,15,1,,2026-07-14 22:43:05.167000
53020,3,1,,2026-07-14 22:43:05.200000
53024,22,1,,2025-09-16 14:35:05.060000
53026,65,1,"<p><strong>Nationally Covered CPT Procedure Codes</strong><br /><br />For services on or after February 21, 2006, the following CPT procedure codes are covered for bariatric surgery:</p>",2025-12-22 16:12:02.160000
53026,65,2,<p><strong>Noridian Local Coverage for Laparoscopic Sleeve Gastrectomy</strong></p>,2025-12-22 16:12:02.180000
53043,16,1,,2026-06-19 12:08:45.950000
53047,17,1,"<p><span style=""line-height: 115%;"">The CPT<sup>&reg;</sup> codes are considered medically necessary when the indications of coverage in the Cataract Surgery L34413 Local Coverage Determination (LCD) are met for surgical cataract treatment. A reasonable and necessary standard must be met for the utilized anterior segment drainage device.</span></p>",2021-12-29 16:33:30.113000
